scenario, sigma, T, loss_mean, loss_std, loss_min, excess, error_mean, error_stdev
Cube,0.05,50,0.382984224855,0.0128945643865,0.368481190998,0.0145030338578,0.00175,0.0067438243354
Cube,0.05,100,0.362789316466,0.00867412226522,0.353924471582,0.00886484488438,8.33333333333e-05,0.000448763733928
Cube,0.05,500,0.334584725354,0.00281174438237,0.332049249365,0.00253547598908,0.0,0.0
Cube,0.05,1000,0.329182611274,0.00213824420136,0.327323060431,0.0018595508431,0.0,0.0
Cube,0.3,50,0.431556961601,0.018318361649,0.402552186661,0.02900477494,0.132916666667,0.0368221136758
Cube,0.3,100,0.40569779898,0.00928850390083,0.390158097115,0.0155397018651,0.10675,0.0190520121422
Cube,0.3,500,0.383502980349,0.0053842197769,0.37714777017,0.0063552101781,0.101916666667,0.0135812881896
Cube,0.3,1000,0.37699158151,0.00230999963194,0.373898178406,0.0030934031046,0.0963333333333,0.00673094016877
Ball,0.05,50,0.525740439376,0.00666120212967,0.517394915495,0.00834552388056,0.00566666666667,0.0218701978856
Ball,0.05,100,0.51753205405,0.0056709034104,0.511200098214,0.00633195583662,0.00266666666667,0.0139034368253
Ball,0.05,500,0.504921056164,0.00111707012347,0.502287190006,0.00263386615806,0.0,0.0
Ball,0.05,1000,0.502064339415,0.000704819081825,0.500870750801,0.0011935886134,0.0,0.0
Ball,0.3,50,0.552732174957,0.00988780492055,0.538281419603,0.0144507553543,0.136,0.0700196401019
Ball,0.3,100,0.540669212442,0.00546264676196,0.532556339449,0.00811287299313,0.0998333333333,0.0413064428658
Ball,0.3,500,0.525524668516,0.0022168379707,0.52244630201,0.00307836650574,0.0796666666667,0.0145162743919
Ball,0.3,1000,0.522833493801,0.00135838960407,0.520354250648,0.00247924315368,0.0780833333333,0.00813130097559
